gene_id	WT_0H_DBI_7	WT_0H_DBI_8	WT_0H_DBI_9	WT_24H_DBI_10	WT_24H_DBI_11	WT_24H_DBI_12	WT_48H_DBI_13	WT_48H_DBI_14	WT_48H_DBI_15	WT_0H_DNA2_22	WT_0H_DNA2_23	WT_0H_DNA2_24	WT_120H_DNA2_25	WT_120H_DNA2_26	WT_120H_DNA2_27	WT_0H_DNA1_28	WT_0H_DNA1_29	WT_0H_DNA1_30	WT_6H_DNA1_31	WT_6H_DNA1_32	WT_6H_DNA1_33	WT_24H_DNA1_34	WT_24H_DNA1_35	WT_24H_DNA1_36
ENSMUSG00000052942	3.33773484438909	3.86527896098907	3.16559152818016	6.33717119876532	6.54820474695805	5.55975257189235	6.29639714593606	5.57463386423286	5.65222877709707	1.58564606358517	1.27128341421124	1.95086408869412	5.38645827239858	5.66799625472003	4.95974573250189	3.61432046985619	3.94319184660802	3.37060283277789	4.67698760262865	5.07442027391975	5.5626115901266	5.43149285264732	6.33749675929771	5.89198589498921
ENSMUSG00000031659	1.0495238546007	1.22603588228576	1.79947755105101	2.91266778528009	3.03643602765932	4.09876052046738	4.90792029393323	3.847117453443	5.85144614926842	1.15020612428659	1.27128341421124	0.913428989789141	7.51803817582623	7.81533445487381	7.26252892851584	0.47783640478663	0.878453036997683	1.51429664835998	1.03893379975781	1.01839772872004	0.473015222660736	4.38442565511359	3.24222447934313	3.01988340030592
ENSMUSG00000002885	1.28811260974217	2.16128252833405	0.507329756442127	4.64737594234074	5.15314253860791	5.27735820059432	6.43688381666245	5.15956069546285	5.99212398415138	0.234912105132763	0.152070672027591	-0.479321285125843	5.81440446138499	6.42933903292541	5.44570910669264	-1.15577851229671	0.221192613984833	-0.724050344391152	0.981624716650201	1.75561679008921	2.69531085854352	5.36314050986973	4.74085799190682	4.96757949820523
ENSMUSG00000032719	6.51305304437983	5.45779403653288	6.53358191348451	3.73144875170959	2.12365840267148	3.42361505156664	3.10183142216288	3.22703094109574	3.22238387615567	5.13183709235375	5.1983185478722	5.47031775834202	3.46006652499726	3.2064165158161	3.57280403133146	5.05628528771777	5.40988991271819	5.24937469359167	4.37152469648356	5.49495239664314	5.07431803809763	1.74275948845698	2.06757610800128	3.07245430881976
ENSMUSG00000028862	0.0392548178715062	1.3519801906847	0.417491644867411	4.05838654574269	4.65824093671478	4.14300668242669	3.53706650239066	3.61543003629045	3.97131479398853	1.31040484962456	0.985181520813832	1.00009889795829	4.32829918585122	4.73263690451201	3.98730408221183	2.38416229772749	2.19347991682348	2.72814826304232	4.58378108889156	4.87895723509352	4.70570762918721	4.60891930417711	4.81348018610039	5.29704041990936
ENSMUSG00000033788	0.322995455214228	1.4302220006243	1.01586259434855	3.72149702669551	4.52279559658018	5.11547852889104	4.71760973565834	3.73218598117633	5.59236072325206	0.52355220526553	0.286541790616567	-1.0466986304311	6.27185513689474	6.69695073284503	6.20463620565714	0.1084156283909	1.37895728185176	2.39639395986818	3.21047663469144	2.60378265004304	2.64516568421226	5.92143575923271	6.00587355062406	4.91816531007234
ENSMUSG00000056313	1.97490801778141	2.52442911527964	2.27916157477018	5.91422075710729	6.99805558905474	5.5828820524997	4.822922025112	5.35187606643134	4.97855466442013	0.870639445470927	0.409540790392901	1.66281573165574	2.64146168874553	3.50101371957565	3.14904133420728	2.85058667170497	2.68095549875813	2.7507679516253	6.09406227586126	6.40352651317491	6.12730567293991	4.61914956541691	5.76635166254627	5.68528659182474
ENSMUSG00000053175	-0.454440193557458	-0.661725822915706	-0.444363039297503	5.63558024589412	5.61053265891282	5.40483480495675	5.2760167862326	5.20336931544447	5.28176122503597	-0.609278297199614	-2.04237389011337	0.378973167622947	4.9171730667821	4.61445448430655	4.72574310430799	2.36959826877288	0.221192613984833	1.48761074802706	3.33009499831049	3.66355543447032	4.58676711951262	5.03093940788478	5.51374779725047	5.19798794505329
ENSMUSG00000046186	1.49278671924039	1.13551791994263	2.20054115802183	4.9239517150701	5.14701356589502	5.77989137565087	5.30639291626593	5.6398562532694	5.98548965901952	1.15020612428659	1.66612542951457	0.378973167622947	5.67418835107467	5.83848692201134	5.34180198590688	1.05263032140113	1.2213950634396	2.4800004744115	4.43694515617123	5.07210448984204	4.16850811220996	5.25740606918615	5.19419815756148	5.47844079207689
ENSMUSG00000071713	-0.609671532620645	-0.125572365353743	1.01586259434855	3.66030049644709	3.81636570880503	4.05972429336414	6.36774982272549	4.13982337853071	4.10586159193182	-1.34055290029943	-2.04237389011337	-2.89739239114692	5.94568176186907	5.65608007124909	5.26521510346209	-1.15577851229671	-1.89563499296635	-1.15735109222897	-0.368888456254254	0.979386234707223	0.310924373721212	4.06331569301613	4.50075589085231	3.91978085588811
