gene_id	FN_0H_DBI_1	FN_0H_DBI_2	FN_0H_DBI_3	FN_48H_DBI_4	FN_48H_DBI_5	FN_48H_DBI_6	WT_0H_DBI_7	WT_0H_DBI_8	WT_0H_DBI_9	WT_24H_DBI_10	WT_24H_DBI_11	WT_24H_DBI_12	WT_48H_DBI_13	WT_48H_DBI_14	WT_48H_DBI_15	B8_0H_DNA1_16	B8_0H_DNA1_17	B8_0H_DNA1_18	B8_24H_DNA1_19	B8_24H_DNA1_20	B8_24H_DNA1_21	WT_0H_DNA2_22	WT_0H_DNA2_23	WT_0H_DNA2_24	WT_120H_DNA2_25	WT_120H_DNA2_26	WT_120H_DNA2_27	WT_0H_DNA1_28	WT_0H_DNA1_29	WT_0H_DNA1_30	WT_6H_DNA1_31	WT_6H_DNA1_32	WT_6H_DNA1_33	WT_24H_DNA1_34	WT_24H_DNA1_35	WT_24H_DNA1_36
ENSMUSG00000020901	-0.675000836308834	-0.167792345277968	-2.0756922787197	2.88822722922834	3.17993519267546	3.84516458539641	-0.609671532620645	0.425908553075587	-1.70914581792125	3.61801137197206	3.75321088932154	3.72747241223006	4.44015271781851	3.63954938898381	3.59784088729774	-2.36588252020702	-2.42223472859961	-2.89739239114692	3.83478619819311	3.39242987787953	3.48975257646802	-2.89739239114692	-1.12072160812718	-1.44436274284974	3.3797860611707	2.81452627164467	3.05106397122076	-1.33501136430497	-2.15902070721804	-1.77954866522252	0.726487338076647	1.35956805589716	1.08782455173699	3.3390110329083	4.05083120982652	3.27295580700058
ENSMUSG00000028494	2.36104170610976	2.11575155297569	2.31486247279771	4.54727146109387	4.9453947773234	5.85188060366668	2.81922321011139	2.52442911527964	2.20054115802183	5.52835313945713	4.88507168810112	5.30265643562586	6.80276718959269	5.99956772163838	5.68944362950288	1.89579960008286	1.61634637632751	1.57651843106419	4.31185958045533	4.05872737540785	4.49218228038536	0.52355220526553	1.20489947874871	0.821217716357282	5.35005108375217	5.51146458213285	4.91030572594805	0.85768915095756	2.26252638345006	1.56623174658848	1.34189026385411	2.17363240569793	2.95060399615307	4.80089317683919	5.07929893049098	5.45553195491151
ENSMUSG00000034457	-1.11312186484602	-0.0377060790580349	0.341755685752712	3.5508760669339	3.88616277238894	4.51535658998905	-1.21088451394624	-1.02955168351447	-1.06652361639259	3.34738233361675	4.20060648441514	4.04647391679024	3.64401009925464	3.03430805495327	3.88839368582455	-2.36588252020702	-0.72406308803344	-1.29305147627592	3.55567779287295	3.50944887755757	3.77461095408641	-1.34055290029943	-0.814986884969065	-1.99519379412258	4.01941609416954	4.14564087670892	3.922283481865	-0.99637213519633	-2.89739239114692	-2.89739239114692	-2.89739239114692	-1.30606749045534	-2.26557626439542	3.84534444299796	3.73454373900931	2.52433864975048
ENSMUSG00000040212	3.25798697515636	3.02043222889161	3.86347080044913	5.93824401736053	6.3538095094311	6.80571601540097	3.3483193773133	3.00532925329853	3.03574446435385	5.85855173592929	5.86695237092827	6.1095009982603	6.40331654331571	6.13156174978069	6.00694060115975	1.82453500860978	1.73454289027048	1.70326252803087	4.45486338511474	4.06276430938501	4.15856860163509	-0.929069638805625	0.52287216982376	-0.261992816747908	4.18210843869908	4.2284421571939	3.79488936381404	2.1485704883355	1.58708985636924	1.88528190550342	1.90116282824911	2.92446986400404	4.10190657711604	4.87746507397021	4.99096656055011	4.71545691640631
ENSMUSG00000000204	-2.20933681577115	-2.19619159022813	-0.87238114594754	2.66527506562015	1.89563468418486	2.99297427259921	-0.981505175337328	-0.833947873023419	-1.06652361639259	5.53405020798477	6.01563670956001	5.94072248240596	6.34719918420882	5.00104030374643	4.3680410183283	-2.89739239114692	-1.15736256421591	-2.89739239114692	4.61638022784775	4.37020873656908	6.00433248987477	-2.89739239114692	-2.89739239114692	-2.89739239114692	1.49295187323495	2.53112322784981	0.911885665637591	-2.89739239114692	-2.89739239114692	-2.89739239114692	-0.904231960622302	-2.40923538465531	-0.620419213753475	6.73640652767606	7.60844108276189	6.30376689852884
ENSMUSG00000021281	0.358946374707713	0.0816144911771997	-0.62314918612798	5.20693571951462	5.29579768894452	5.85745588081254	-0.783642025983193	-1.02955168351447	-1.06652361639259	5.33304303908666	5.04852592044909	5.71646695188902	5.2887513226041	4.63576254555723	5.10329513206623	-1.02057219578751	-0.854551627899857	0.479261035455401	4.61378800703995	4.02187745304976	4.90022563176822	-0.929069638805625	-0.814986884969065	-1.0466986304311	5.68675541331413	5.56979155437163	5.23875520764948	0.582578651863327	-0.309502081637629	1.40445702423303	0.859688751984121	1.82327291910718	3.31372515970098	4.71049119162306	5.11456541590379	4.49566798020884
ENSMUSG00000000290	-0.497462678119761	0.643574358359821	0.454497582971597	3.81426395979182	4.21735529381839	4.97803282187766	-0.186576923421832	0.880744985786219	1.07582359507156	2.96421655030376	3.00966401498466	4.42484120987203	6.30770306507227	4.99170140507051	4.41323275027625	0.275405629484904	-0.0411791394611098	-0.15030779473461	3.87430878096365	4.03014805065749	4.16895722098791	0.0655825324120687	-0.56284992822133	0.0937975564853561	5.65726014785331	5.99804014155617	5.15633289115912	0.176933752148507	0.42769748075138	0.0345302793864841	-0.097856772263304	1.29748509806317	1.62495056696999	4.5024169945043	4.44088539331331	4.17748493472383
ENSMUSG00000009687	-0.196953606157933	0.294193515699014	0.219450782770452	4.97304750949886	5.67122820643861	6.36507493542803	-0.186576923421832	0.50034106008317	-0.285034053787858	5.13359862611007	5.94497652513892	5.85211335189019	6.21600722890359	5.79644574864379	5.3710006745033	0.946916371679494	0.24034103745096	0.873597549919533	4.88068827838614	4.57345312793488	4.78338287149099	-2.89739239114692	-2.04237389011337	-0.261992816747908	4.38080430569242	5.10990374009915	4.1091638456196	0.0364804002068742	0.275655395237409	-2.42223013394478	-0.904231960622302	2.06603048961361	2.62805567985932	5.54315918780415	5.55412526673794	4.63326621570331
ENSMUSG00000003752	3.64606803135454	3.26694932119309	3.43922507741489	3.82971280043693	4.11305951490312	4.34590205223117	3.12029648396375	3.08004093517643	3.35898832575751	4.3508085432881	4.86654110725267	4.57080992127157	4.92106706409639	4.42064530840905	4.42798746289519	3.48469747073274	3.53599036080194	3.19723952480488	4.26306556917587	4.00938197160063	3.89631228366098	3.19011228945772	3.08619889891105	3.15067800805363	4.30675015034492	4.03036510103634	4.00834232587561	4.12847423557885	3.09853148780165	3.83487855247665	6.24780883765817	6.77995021673144	7.33938064279256	4.49132124001976	4.80270906871136	4.70993648369992
ENSMUSG00000052942	2.47184034238366	2.74117047839713	2.31486247279771	4.49493770584783	5.29579768894452	5.9120547567359	3.33773484438909	3.86527896098907	3.16559152818016	6.33717119876532	6.54820474695805	5.55975257189235	6.29639714593606	5.57463386423286	5.65222877709707	2.31520546978587	2.2452730809125	2.48843076205251	5.14944429562377	4.5847270106989	4.76295482052426	1.58564606358517	1.27128341421124	1.95086408869412	5.38645827239858	5.66799625472003	4.95974573250189	3.61432046985619	3.94319184660802	3.37060283277789	4.67698760262865	5.07442027391975	5.5626115901266	5.43149285264732	6.33749675929771	5.89198589498921
